PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Kelly, Martyn G.; Krokowski, Jan; Harding, J. P. C.								RAPPER: A new method for rapid assessment of macroalgae as a complement to diatom-based assessments of ecological status								SCIENCE OF THE TOTAL ENVIRONMENT				568				536	545		10.1016/j.scitotenv.2015.12.068			OCT 15 2016	2016										3							WOS:000382258300055		
J	Petrovan, Silviu O.; Schmidt, Benedikt R.								Volunteer Conservation Action Data Reveals Large-Scale and Long-Term Negative Population Trends of a Widespread Amphibian, the Common Toad (Bufo bufo)								PLOS ONE				11	10					e0161943	10.1371/journal.pone.0161943			OCT 5 2016	2016										10							WOS:000385697200004		
J	Verma, Audrey; van der Wal, Rene; Fischer, Anke								Imagining wildlife: New technologies and animal censuses, maps and museums								GEOFORUM				75				75	86		10.1016/j.geoforum.2016.07.002			OCT 2016	2016										2							WOS:000383943700009		
J	Woods, Megan; Paulus, Trena; Atkins, David P.; Macklin, Rob								Advancing Qualitative Research Using Qualitative Data Analysis Software (QDAS)? Reviewing Potential Versus Practice in Published Studies using ATLAS.ti and NVivo, 1994-2013								SOCIAL SCIENCE COMPUTER REVIEW				34	5			597	617		10.1177/0894439315596311			OCT 2016	2016										9							WOS:000382917800006		
J	Barnard, L.; Portas, A. M.; Gray, S. L.; Harrison, R. G.								The National Eclipse Weather Experiment: an assessment of citizen scientist weather observations								PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES				374	2077					20150220	10.1098/rsta.2015.0220			SEP 28 2016	2016										5							WOS:000391137500010		
J	Harrison, R. Giles; Hanna, Edward								The solar eclipse: a natural meteorological experiment								PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES				374	2077					20150225	10.1098/rsta.2015.0225			SEP 28 2016	2016										7							WOS:000391137500015		
J	Portas, Antonio M.; Barnard, Luke; Scott, Chris; Harrison, R. Giles								The National Eclipse Weather Experiment: use and evaluation of a citizen science tool for schools outreach								PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES				374	2077					20150223	10.1098/rsta.2015.0223			SEP 28 2016	2016										6							WOS:000391137500013		
J	Austen, G. E.; Bindemann, M.; Griffiths, R. A.; Roberts, D. L.								Species identification by experts and non-experts: comparing images from field guides								SCIENTIFIC REPORTS				6						33634	10.1038/srep33634			SEP 20 2016	2016										6							WOS:000383556100001		
J	Monteiro, Madalena Vaz; Doick, Kieron J.; Handley, Phillip								Allometric relationships for urban trees in Great Britain								URBAN FORESTRY & URBAN GREENING				19				223	236		10.1016/j.ufug.2016.07.009			SEP 1 2016	2016										0							WOS:000386190500026		
J	Shen, Jun; Baum, Thomas; Cordes, Christian; Ott, Beate; Skurk, Thomas; Kooijman, Hendrik; Rummeny, Ernst J.; Hauner, Hans; Menze, Bjoern H.; Karampinos, Dimitrios C.								Automatic segmentation of abdominal organs and adipose tissue compartments in water-fat MRI: Application to weight-loss in obesity								EUROPEAN JOURNAL OF RADIOLOGY				85	9			1613	1621		10.1016/j.ejrad.2016.06.006			SEP 2016	2016										4							WOS:000381661700014		
J	Wansi, Jean Duplex; Wandji, Jean; Sewald, Norbert; Nahar, Lutfun; Martin, Claire; Sarker, Satyajit Dey								Phytochemistry and pharmacology of the genus Drypetes: A review								JOURNAL OF ETHNOPHARMACOLOGY				190				328	353		10.1016/j.jep.2016.06.060			AUG 22 2016	2016										1							WOS:000383293300031		
J	Jung, Yong Wook; Shim, Sung Shin; Park, Ji Eun; Sung, Se Ra; Shim, Sung Han; Park, Hea Ree; Cha, Dong Hyun								Analysis of the cell-free amniotic fluid transcriptome expressed during the euploid mid-trimester of pregnancy								EUROPEAN JOURNAL OF OBSTETRICS & GYNECOLOGY AND REPRODUCTIVE BIOLOGY				203				94	98		10.1016/j.ejogrb.2016.05.040			AUG 2016	2016										2							WOS:000381951400019		
J	Hof, Anouschka R.; Bright, Paul W.								Quantifying the long-term decline of the West European hedgehog in England by subsampling citizen-science datasets								EUROPEAN JOURNAL OF WILDLIFE RESEARCH				62	4			407	413		10.1007/s10344-016-1013-1			AUG 2016	2016										0							WOS:000380127300003		
J	Tosh, James; James, Karen; Rumsey, Fred; Crookshank, Annabel; Dyer, Robert; Hopkins, Della								Is DNA barcoding child's play? Science education and the utility of DNA barcoding for the discrimination of UK tree species								BOTANICAL JOURNAL OF THE LINNEAN SOCIETY				181	4			711	722		10.1111/boj.12449			AUG 2016	2016										1							WOS:000379937500011		
J	Mastmeyer, Andre; Fortmeier, Dirk; Handels, Heinz								Efficient patient modeling for visuo-haptic VR simulation using a generic patient atlas								COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE				132				161	175		10.1016/j.cmpb.2016.04.017			AUG 2016	2016										2							WOS:000377300600016		
J	Jha, Shaili C.; Meltzer-Brody, Samantha; Steiner, Rachel J.; Cornea, Emil; Woolson, Sandra; Ahn, Mihye; Verde, Audrey R.; Hamer, Robert M.; Zhu, Hongtu; Styner, Martin; Gilmore, John H.; Knickmeyer, Rebecca C.								Antenatal depression, treatment with selective serotonin reuptake inhibitors, and neonatal brain structure: A propensity-matched cohort study								PSYCHIATRY RESEARCH-NEUROIMAGING				253				43	53		10.1016/j.pscychresns.2016.05.004			JUL 30 2016	2016										7							WOS:000378822400006		
J	Everett, Glyn; Geoghegan, Hilary								Initiating and continuing participation in citizen science for natural history								BMC ECOLOGY				16						S13	10.1186/s12898-016-0062-3			JUL 22 2016	2016										1							WOS:000383667500001		
J	Gosling, Laura; Sparks, Tim H.; Araya, Yoseph; Harvey, Martin; Ansine, Janice								Differences between urban and rural hedges in England revealed by a citizen science project								BMC ECOLOGY				16						S15	10.1186/s12898-016-0064-1			JUL 22 2016	2016										0							WOS:000383667500003		
J	Rose, N. L.; Turner, S. D.; Goldsmith, B.; Gosling, L.; Davidson, T. A.								Quality control in public participation assessments of water quality: the OPAL Water Survey								BMC ECOLOGY				16						S14	10.1186/s12898-016-0063			JUL 22 2016	2016										0							WOS:000383667500002		
J	[Anonymous]								Compressed air solution helps reduce CO2 impact								FILTRATION & SEPARATION				53	4			32	32					JUL-AUG 2016	2016										0							WOS:000382103900008		
J	Siddharthan, Advaith; Lambin, Christopher; Robinson, Anne-Marie; Sharma, Nirwan; Comont, Richard; O'Mahony, Elaine; Mellish, Chris; Van der Wal, Rene								Crowdsourcing Without a Crowd: Reliable Online Species Identification Using Bayesian Models to Minimize Crowd Size								ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY				7	4					45	10.1145/2776896			JUL 2016	2016										5							WOS:000380322200002		
J	Lavergne, Miriam Ruth; Barer, Morris; Law, Michael R.; Wong, Sabrina T.; Peterson, Sandra; McGrail, Kimberlyn								Examining regional variation in health care spending in British Columbia, Canada								HEALTH POLICY				120	7			739	748		10.1016/j.healthpol.2016.04.007			JUL 2016	2016										4							WOS:000380416200003		
J	Entradas, Marta								What is the public's role in space policymaking? Images of the public by practitioners of space communication in the United Kingdom								PUBLIC UNDERSTANDING OF SCIENCE				25	5			603	611		10.1177/0963662515579838			JUL 2016	2016										1							WOS:000379786400007		
J	Newson, Stuart E.; Moran, Nick J.; Musgrove, Andy J.; Pearce-Higgins, James W.; Gillings, Simon; Atkinson, Philip W.; Miller, Ryan; Grantham, Mark J.; Baillie, Stephen R.								Long-term changes in the migration phenology of UK breeding birds detected by large-scale citizen science recording schemes								IBIS				158	3			481	495		10.1111/ibi.12367			JUL 2016	2016										11							WOS:000378415800002		
J	Fernandes, Joao da Rocha; Ogurtsova, Katherine; Linnenkamp, Ute; Guariguata, Leonor; Seuring, Till; Zhang, Ping; Cavan, David; Makaroff, Lydia E.								IDF Diabetes Atlas estimates of 2014 global health expenditures on diabetes								DIABETES RESEARCH AND CLINICAL PRACTICE				117				48	54		10.1016/j.diabres.2016.04.016			JUL 2016	2016										54							WOS:000378091600008		
J	Chihara, Hideo; Oishi, Naoya; Ishii, Akira; Munemitsu, Toshihiro; Arai, Daisuke; Ikeda, Hiroyuki; Miyamoto, Susumu								In vivo detection of atherosclerotic plaque using non-contact and label-free near-infrared hyperspectral imaging								ATHEROSCLEROSIS				250				106	113		10.1016/j.atherosclerosis.2016.04.029			JUL 2016	2016										1							WOS:000377982800015		
J	Turnhout, Esther; Lawrence, Anna; Turnhout, Sander								Citizen science networks in natural history and the collective validation of biodiversity data								CONSERVATION BIOLOGY				30	3			532	539		10.1111/cobi.12696			JUN 2016	2016										4							WOS:000379945600010		
J	van der Wal, Rene; Sharma, Nirwan; Mellish, Chris; Robinson, Annie; Siddharthan, Advaith								The role of automated feedback in training and retaining biological recorders for citizen science								CONSERVATION BIOLOGY				30	3			550	561		10.1111/cobi.12705			JUN 2016	2016										5							WOS:000379945600012		
J	Boets, Pieter; Brosens, Dimitri; Lock, Koen; Adriaens, Tim; Aelterman, Bart; Mertens, Joost; Goethals, Peter L. M.								Alien macroinvertebrates in Flanders (Belgium)								AQUATIC INVASIONS				11	2			131	144		10.3391/ai.2016.11.2.03			JUN 2016	2016										4							WOS:000377691100003		
J	Maderson, Siobhan; Wynne-Jones, Sophie								Beekeepers' knowledges and participation in pollinator conservation policy								JOURNAL OF RURAL STUDIES				45				88	98		10.1016/j.jrurstud.2016.02.015			JUN 2016	2016										3							WOS:000377234900009		
J	Doruyter, Alexander; Lochner, Christine; Jordaan, Gerhard P.; Stein, Dan J.; Dupont, Patrick; Warwick, James M.								Resting functional connectivity in social anxiety disorder and the effect of pharmacotherapy								PSYCHIATRY RESEARCH-NEUROIMAGING				251				34	44		10.1016/j.pscychresns.2016.04.009			MAY 30 2016	2016										3							WOS:000377353500005		
J	Santangeli, Andrea; Arroyo, Beatriz; Dicks, Lynn V.; Herzon, Irina; Kukkala, Aija S.; Sutherland, William J.; Moilanen, Atte								Voluntary non-monetary approaches for implementing conservation								BIOLOGICAL CONSERVATION				197				209	214		10.1016/j.biocon.2016.03.013			MAY 2016	2016										9							WOS:000376798800026		
J	Rashed, Essam A.; Kudo, Hiroyuki								Probabilistic atlas prior for CT image reconstruction								COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE				128				119	136					MAY 2016	2016										1							WOS:000373495200012		
J	Eberl, Helmut; Spanos, Vassilis C.								GravitinoPack and decays of supersymmetric metastable particles								COMPUTER PHYSICS COMMUNICATIONS				202				310	325		10.1016/j.cpc.2015.12.027			MAY 2016	2016										3							WOS:000373542000021		
J	Sennikov, Alexander N.; Hjertson, Mats; Salvesen, Per H.								Atlas Florae Europaeae notes 27. Taxonomy of the Sorbus arranensis group (Rosaceae) in Norway, a hybrid aggregate between S. aria s. lato and S. aucuparia								ANNALES BOTANICI FENNICI				53	1-2			1	13					APR 2016	2016										0							WOS:000374707700001		
J	Gharesifard, Mohammad; Wehn, Uta								To share or not to share: Drivers and barriers for sharing data via online amateur weather networks								JOURNAL OF HYDROLOGY				535				181	190		10.1016/j.jhydrol.2016.01.036			APR 2016	2016										10							WOS:000373421500016		
J	Guerrero-Bote, Vicente P.; Olmeda-Gomez, Carlos; Moya-Anegon, Felix								Atlas of scientific institutions in food science (Scopus, 2003-2013)								LWT-FOOD SCIENCE AND TECHNOLOGY				67				133	142		10.1016/j.lwt.2015.11.035			APR 2016	2016										2							WOS:000369198700019		
J	Schnepfleitner, Harald; Sass, Oliver; Fruhmann, Stefanie; Viles, Heather; Goudie, Andrew								A multi-method investigation of temperature, moisture and salt dynamics in tafoni (Tafraoute, Morocco)								EARTH SURFACE PROCESSES AND LANDFORMS				41	4			473	485		10.1002/esp.3838			MAR 30 2016	2016										6							WOS:000373135900004		
J	Roy, Helen E.; Baxter, Elizabeth; Saunders, Aoine; Pocock, Michael J. O.								Focal Plant Observations as a Standardised Method for Pollinator Monitoring: Opportunities and Limitations for Mass Participation Citizen Science								PLOS ONE				11	3					e0150794	10.1371/journal.pone.0150794			MAR 17 2016	2016										3							WOS:000372580300027		
J	Jellema, Jako; Mulder, Henk A. J.								Public Engagement in Energy Research								ENERGIES				9	3						10.3390/en9030125			MAR 2016	2016										2							WOS:000373625500017		
J	Winfield, Ian J.								Recreational fisheries in the UK: natural capital, ecosystem services, threats, and management								FISHERIES SCIENCE				82	2			203	212		10.1007/s12562-016-0967-y			MAR 2016	2016										3							WOS:000372251400003		
J	Yarborough, Bobbi Jo H.; Stumbo, Scott P.; McCarty, Dennis; Mertens, Jennifer; Weisner, Constance; Green, Carla A.								Methadone, buprenorphine and preferences for opioid agonist treatment: A qualitative analysis								DRUG AND ALCOHOL DEPENDENCE				160				112	118		10.1016/j.drugalcdep.2015.12.031			MAR 1 2016	2016										9							WOS:000371837200014		
J	Cheshire, Anna; Peters, David; Ridge, Damien								How do we improve men's mental health via primary care? An evaluation of the Atlas Men's Well-being Pilot Programme for stressed/distressed men								BMC FAMILY PRACTICE				17						13	10.1186/s12875-016-0410-6			FEB 2 2016	2016										2							WOS:000369167400001		
J	Pikesley, Stephen K.; Godley, Brendan J.; Latham, Holly; Richardson, Peter B.; Robson, Laura M.; Solandt, Jean-Luc; Trundle, Colin; Wood, Chris; Witt, Matthew J.								Pink sea fans (Eunicella verrucosa) as indicators of the spatial efficacy of Marine Protected Areas in southwest UK coastal waters								MARINE POLICY				64				38	45		10.1016/j.marpol.2015.10.010			FEB 2016	2016										5							WOS:000369205000006		
J	Crowley, John E.								Herman Moll's The World Described (1720): Mapping Britain's Global and Imperial Interests								IMAGO MUNDI-THE INTERNATIONAL JOURNAL FOR THE HISTORY OF CARTOGRAPHY				68	1			16	+		10.1080/03085694.2016.1107370			JAN 2 2016	2016										0							WOS:000366660600002		
J	Gilchrist, Anna; Barker, Adam; Handley, John F.								Pathways through the Landscape in a Changing Climate: The Role of Landscape Structure in Facilitating Species Range Expansion through an Urbanised Region								LANDSCAPE RESEARCH				41	1			26	44		10.1080/01426397.2015.1045466			JAN 2 2016	2016										1							WOS:000366711200003		
J	Nyhan, Julianne; Flinn, Andrew	Nyhan, J; Flinn, A							They Took a Chance: Susan Hockey and Julianne Nyhan								Springer Series on Cultural Computing								87	97		10.1007/978-3-319-20170-2_6			2016	2016										0							WOS:000400499200006		
J	Merlo, V.; Pietropaolo, A.; Celentano, G.; Cirillo, M.; Lucci, M.; Ottaviani, I.; Salvato, M.; Scherillo, A.; Schooneveld, E. M.; Vannozzi, A.			IOP					Superconducting thermal neutron detectors								Journal of Physics Conference Series				746						UNSP 012019	10.1088/1742-6596/746/1/012019			2016	2016						6th European Conference on Neutron Scattering (ECNS)	AUG 30-SEP 04, 2015	Govt Aragon; Consortium German Neutron Sources; ILL; PSI; Swiss Neutron; ISIS; ESS Bilbao; JINR FLNP; NMi3; Airbus Def & Space; Tessella; Oxford Instruments; Gen Elect; Lab Leon Brillouin; HNF Technologies; AVS; ANTE; Mirrotron Ltd; Toshiba; ENATE Winery	Univ Zaragoza, CSIC, Mat Sci Inst Aragon, Zaragoza, SPAIN	0							WOS:000409470900019		
J	Alejandra Ocampo-Salazar, Carmen; Rene Gonzales-Miranda, Iego; Gentilin, Mariano								Discourse in the study of organizations. A revision of literature								CUADERNOS DE GESTION				16	1			15	42		10.5295/cdg.140460dg			2016	2016										0							WOS:000405871400001		
J	Eve, Martin Paul								'You Have to Keep Track of Your Changes': The Version Variants and Publishing History of David Mitchell's Cloud Atlas								OPEN LIBRARY OF HUMANITIES				2	2					e1	10.16995/olh.82			2016	2016										4							WOS:000396468700001		
J	Simonis, I; De Lathouwer, B.; Taylor, T.			IEEE					SENSOR WEB ENABLEMENT (SWE) FOR CITIZEN SCIENCE								IEEE International Symposium on Geoscience and Remote Sensing IGARSS								3618	3620		10.1109/IGARSS.2016.7729937			2016	2016						36th IEEE International Geoscience and Remote Sensing Symposium (IGARSS)	JUL 10-15, 2016	Inst Elect & Elect Engineers; Inst Elect & Elect Engineers, Geoscience & Remote Sensing Soc; NSSC	Beijing, PEOPLES R CHINA	0							WOS:000388114603162		
J	Daume, Stefan; Fueldner, Kai								Forest Tweets - Informal Digital Coverage of the Oak Processionary Moth or Why Foresters should care about Social Media								ALLGEMEINE FORST UND JAGDZEITUNG				187	9-10			185	197					2016	2016										0							WOS:000393364200003		
J	Kovacevic, Dubravka; Ciderova, Denisa			SGEM					EXTERNAL RELATIONS OF THE EU: FOCUS ON THE ATLANTIC REGION								International Multidisciplinary Scientific GeoConference-SGEM								879	886					2016	2016						16th International Multidisciplinary Scientific Geoconference (SGEM 2016)	JUN 30-JUL 06, 2016	Bulgarian Acad Sci; Acad Sci Czech Republ; Latvian Acad Sci; Polish Acad Sci; Russian Acad Sci; Serbian Acad Sci & Arts; Slovak Acad Sci; Natl Acad Sci Ukraine; Inst Water Problem & Hydropower NAS KR; Natl Acad Sci Armenia; Sci Council Japan; World Acad Sci; European Acad Sci Arts & Lett; Acad Sci Moldova; Montenegrin Acad Sci & Arts; Croatian Acad Sci & Arts; Georgian Natl Acad Sci; Acad Fine Arts & Design Bratislava; Turkish Acad Sci; Bulgarian Ind Assoc; Bulgarian Minist Environm & Water	Albena, BULGARIA	0							WOS:000391519100117		
J	Thye, Miriam; Ritzka, Desiree; Link, Rose; Tauschel, Diethard								Learning How to Learn - Which Learning Techniques Really Foster Contemporary Academic Learning?								European Proceedings of Social and Behavioural Sciences				16				775	779		10.15405/epsbs.2016.11.79			2016	2016						ICEEPSY 2016: 7th International Conference on Education and Educational Psychology	OCT 10-15, 2016		Rhodes, GREECE	0							WOS:000390872300079		
J	French, Richard; Marin-Reyes, Hector; Kourlitis, Evangelos			IEEE					Usability Study to Qualify a Dexterous Robotic Manipulator for High Radiation Environments								IEEE International Conference on Emerging Technologies and Factory Automation-ETFA														2016	2016						21st IEEE International Conference on Emerging Technologies and Factory Automation (ETFA)	SEP 06-09, 2016	IEEE; IES; OWL Univ Appl Sci, Inst Ind Informat Technologies	OWL Univ Appl Sci, Fraunhofer IOSB INA, Berlin, GERMANY	0							WOS:000389524200029		
J	Holloway, Paul; Miller, Jennifer A.; Gillings, Simon								Incorporating movement in species distribution models: how do simulations of dispersal affect the accuracy and uncertainty of projections?								INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE				30	10			2050	2074		10.1080/13658816.2016.1158823			2016	2016										3							WOS:000378064900007		
J	Johnson, Mark P.; Maggs, Christine A.; Allcock, A. Louise; Blight, Andrew J.								Landscape effects in the intertidal around the coastline of Great Britain								JOURNAL OF BIOGEOGRAPHY				43	1			111	122		10.1111/jbi.12607			JAN 2016	2016										0							WOS:000367691100010		
J	Abrines-Jaume, Neus; Midgley, Nick; Hopkins, Katy; Hoffman, Jasmine; Martin, Kate; Law, Duncan; Wolpert, Miranda								A qualitative analysis of implementing shared decision making in Child and Adolescent Mental Health Services in the United Kingdom: Stages and facilitators								CLINICAL CHILD PSYCHOLOGY AND PSYCHIATRY				21	1			19	31		10.1177/1359104514547596			JAN 2016	2016										11							WOS:000367466100002		
J	Kobori, Hiromi; Dickinson, Janis L.; Washitani, Izumi; Sakurai, Ryo; Amano, Tatsuya; Komatsu, Naoya; Kitamura, Wataru; Takagawa, Shinichi; Koyama, Kazuo; Ogawara, Takao; Miller-Rushing, A. J.								Citizen science: a new approach to advance ecology, education, and conservation								ECOLOGICAL RESEARCH				31	1			1	19		10.1007/s11284-015-1314-y			JAN 2016	2016										26							WOS:000367103200001		
J	Rutgers, Michiel; Orgiazzi, Alberto; Gardi, Ciro; Roembke, Joerg; Jaensch, Stephan; Keith, Aidan M.; Neilson, Roy; Boag, Brian; Schmidt, Olaf; Murchie, Archie K.; Blackshaw, Rod P.; Peres, Guenola; Cluzeau, Daniel; Guernion, Muriel; Briones, Maria J. I.; Rodeiro, Javier; Pineiro, Raul; Diaz Cosin, Dario J.; Paulo Sousa, J.; Suhadolc, Marjetka; Kos, Ivan; Krogh, Paul-Henning; Faber, Jack H.; Mulder, Christian; Bogte, Jaap J.; van Wijnen, Harm J.; Schouten, Anton J.; de Zwart, Dick								Mapping earthworm communities in Europe								APPLIED SOIL ECOLOGY				97				98	111		10.1016/j.apsoil.2015.08.015			JAN 2016	2016										13							WOS:000365997100012		
J	Zamora, Samuel; Rahman, Imran A.; Ausich, William I.								Palaeogeographic implications of a new iocrinid crinoid (Disparida) from the Ordovician (Darriwillian) of Morocco								PEERJ				3						e1450	10.7717/peerj.1450			DEC 7 2015	2015										3							WOS:000366411300003		
J	Karkhanis, Shalmira; Mack, Peter; Franklin, Daniel								Dental age estimation standards for a Western Australian population								FORENSIC SCIENCE INTERNATIONAL				257						UNSP 509.e1	10.1016/j.forsciint.2015.06.021			DEC 2015	2015										0							WOS:000368011500077		
J	Sullivan, Martin J. P.; Newson, Stuart E.; Pearce-Higgins, James W.								Using habitat-specific population trends to evaluate the consistency of the effect of species traits on bird population change								BIOLOGICAL CONSERVATION				192				343	352		10.1016/j.biocon.2015.10.009			DEC 2015	2015										4							WOS:000366540600038		
J	Chang, Chao-Hsi; Wang, Xian-You; Wu, Xing-Gang								BCVEGPY2.2: A newly upgraded version for hadronic production of the meson B-c and its excited states								COMPUTER PHYSICS COMMUNICATIONS				197				335	338		10.1016/j.cpc.2015.07.015			DEC 2015	2015										0							WOS:000362919500033		
J	Resnik, David B.; Elliott, Kevin C.; Miller, Aubrey K.								A framework for addressing ethical issues in citizen science								ENVIRONMENTAL SCIENCE & POLICY				54				475	481		10.1016/j.envsci.2015.05.008			DEC 2015	2015										12							WOS:000362603400050		
J	Mwangi, Benson; Wu, Mon-Ju; Bauer, Isabelle E.; Modi, Haina; Zeni, Cristian P.; Zunta-Soares, Giovana B.; Hasan, Khader M.; Soares, Jair C.								Predictive classification of pediatric bipolar disorder using atlas-based diffusion weighted imaging and support vector machines								PSYCHIATRY RESEARCH-NEUROIMAGING				234	2			265	271		10.1016/j.pscychresns.2015.10.002			NOV 30 2015	2015										6							WOS:000365053600014		
J	Powney, Gary D.; Cham, Steve S. A.; Smallshire, Dave; Isaac, Nick J. B.								Trait correlates of distribution trends in the Odonata of Britain and Ireland								PEERJ				3						UNSP e1410	10.7717/peerj.1410			NOV 19 2015	2015										4							WOS:000365803400004		
J	Pennington, Catherine; Freeborough, Katy; Dashwood, Claire; Dijkstra, Tom; Lawrie, Kenneth								The National Landslide Database of Great Britain: Acquisition, communication and the role of social media								GEOMORPHOLOGY				249				44	51		10.1016/j.geomorph.2015.03.013			NOV 15 2015	2015										13							WOS:000363827400005		
J	Bell, Gemma; Neal, Samuel; Medcalf, Katie								Use of remote sensing to produce a habitat map of Norfolk								ECOLOGICAL INFORMATICS				30				293	299		10.1016/j.ecoinf.2015.06.003			NOV 2015	2015										2							WOS:000366876400037		
J	Galan-Diaz, Carlos; Edwards, Peter; Nelson, John D.; van der Wal, Rene								Digital innovation through partnership between nature conservation organisations and academia: A qualitative impact assessment								AMBIO				44				S538	S549		10.1007/s13280-015-0704-2			NOV 2015	2015										5							WOS:000363840100004		
J	van der Wal, Rene; Anderson, Helen; Robinson, Annie; Sharma, Nirwan; Mellish, Chris; Roberts, Stuart; Darvill, Ben; Siddharthan, Advaith								Mapping species distributions: A comparison of skilled naturalist and lay citizen science recording								AMBIO				44				S584	S600		10.1007/s13280-015-0709-x			NOV 2015	2015										12							WOS:000363840100008		
J	Sun, Hai; Blakely, Timothy M.; Darvas, Felix; Wander, Jeremiah D.; Johnson, Lise A.; Su, David K.; Miller, Kai J.; Fetz, Eberhard E.; Ojemann, Jeffery G.								Sequential activation of premotor, primary somatosensory and primary motor areas in humans during cued finger movements								CLINICAL NEUROPHYSIOLOGY				126	11			2150	2161		10.1016/j.clinph.2015.01.005			NOV 2015	2015										15							WOS:000363479000014		
J	Cigna, Francesca; Jordan, Hannah; Bateson, Luke; McCormack, Harry; Roberts, Claire								Natural and Anthropogenic Geohazards in Greater London Observed from Geological and ERS-1/2 and ENVISAT Persistent Scatterers Ground Motion Data: Results from the EC FP7-SPACE PanGeo Project								PURE AND APPLIED GEOPHYSICS				172	11			2965	2995		10.1007/s00024-014-0927-3			NOV 2015	2015										14							WOS:000363249600002		
J	Mabey, Chris; Wong, Amy L. Y.; Hsieh, Linda								Knowledge exchange in networked organizations: does place matter?								R & D MANAGEMENT				45	5			487	500		10.1111/radm.12099			NOV 2015	2015										1							WOS:000363662500005		
J	Kim, Jong Soo; Schmeier, Daniel; Tattersall, Jamie; Rolbiecki, Krzysztof								A framework to create customised LHC analyses within CheckMATE								COMPUTER PHYSICS COMMUNICATIONS				196				535	562		10.1016/j.cpc.2015.06.002			NOV 2015	2015										24							WOS:000362602900049		
J	Forde, Natalie J.; O'Donoghue, Stefani; Scanlon, Cathy; Emsell, Louise; Chaddock, Chris; Leemans, Alexander; Jeurissen, Ben; Barker, Gareth J.; Cannon, Dara M.; Murray, Robin M.; McDonald, Colm								Structural brain network analysis in families multiply affected with bipolar I disorder								PSYCHIATRY RESEARCH-NEUROIMAGING				234	1			44	51		10.1016/j.pscychresns.2015.08.004			OCT 30 2015	2015										4							WOS:000365221500006		
J	Travis, Charles								ACTS OF PERCEPTION: SAMUEL BECKET, TIME, SPACE AND THE DIGITAL LITERARY ATLAS OF IRELAND, 1922-1949								INTERNATIONAL JOURNAL OF HUMANITIES AND ARTS COMPUTING				9	2			219	241		10.3366/ijhac.2015.0150			OCT 2015	2015										0							WOS:000376566000007		
J	Wilson, John Fawcett; Baker, David; Cook, Mike; Davis, George; Freestone, Roger; Gardner, David; Grundy, Dave; Lowe, Norman; Orridge, Steve; Young, Heather								Climate association with fluctuation in annual abundance of fifty widely distributed moths in England and Wales: a citizen-science study								JOURNAL OF INSECT CONSERVATION				19	5			935	946		10.1007/s10841-015-9811-4			OCT 2015	2015										1							WOS:000364526700011		
J	Eglington, Sarah M.; Brereton, Tom M.; Tayleur, Catherine M.; Noble, David; Risely, Kate; Roy, David B.; Pearce-Higgins, James W.								Patterns and causes of covariation in bird and butterfly community structure								LANDSCAPE ECOLOGY				30	8			1461	1472		10.1007/s10980-015-0199-z			OCT 2015	2015										2							WOS:000360673200008		
J	Denner, Ansgar; Dittmaier, Stefan; Kallweit, Stefan; Mueck, Alexander								HAWK 2.0: A Monte Carlo program for Higgs production in vector-boson fusion and Higgs strahlung at hadron colliders								COMPUTER PHYSICS COMMUNICATIONS				195				161	171		10.1016/j.cpc.2015.04.021			OCT 2015	2015										13							WOS:000357750100016		
J	Watanabe, Keita; Kakeda, Shingo; Yoshimura, Reiji; Abe, Osamu; Ide, Satoru; Hayashi, Kenji; Katsuki, Asuka; Umene-Nakano, Wakako; Watanabe, Rieko; Nakamura, Jun; Korogi, Yukunori								Relationship between the catechol-O-methyl transferase Va1108/158Met genotype and brain volume in treatment-naive major depressive disorder: Voxel-based morphometry analysis								PSYCHIATRY RESEARCH-NEUROIMAGING				233	3			481	487		10.1016/j.pscychresns.2015.07.024			SEP 30 2015	2015										7							WOS:000360563800024		
J	Utz, A.; Thuerling, M.; Ernst, T. M.; Hermann, A.; Stark, R.; Wolf, O. T.; Timmann, D.; Merz, C. J.								Cerebellar vermis contributes to the extinction of conditioned fear								NEUROSCIENCE LETTERS				604				173	177		10.1016/j.neulet.2015.07.026			SEP 14 2015	2015										8							WOS:000361850000032		
