PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Harding-Esch, E. M.; Cousins, E. C.; Chow, S-L C.; Phillips, L. T.; Hall, C. L.; Cooper, N.; Fuller, S. S.; Nori, A., V; Patel, R.; Thomas-William, S.; Whitlock, G.; Edwards, S. J. E.; Green, M.; Clarkson, J.; Arlett, B.; Dunbar, J. K.; Lowndes, C. M.; Sadiq, S. T.								A 30-Min Nucleic Acid Amplification Point-of-Care Test for Genital Chlamydia trachomatis Infection in Women: A Prospective, Multi-center Study of Diagnostic Accuracy								EBIOMEDICINE				28				120	127		10.1016/j.ebiom.2017.12.029			FEB 2018	2018										1							WOS:000425875600023		
J	Pipek, Pavel; Petruskova, Tereza; Petrusek, Adam; Diblikova, Lucie; Eaton, Mark A.; Pysek, Petr								Dialects of an invasive songbird are preserved in its invaded but not native source range								ECOGRAPHY				41	2			245	254		10.1111/ecog.02779			FEB 2018	2018										2							WOS:000423807400001		
J	Goulson, D.; O'Connor, S.; Park, K. J.								Causes of colony mortality in bumblebees								ANIMAL CONSERVATION				21	1			45	53		10.1111/acv.12363			FEB 2018	2018										0							WOS:000423513400010		
J	Allemand, Remi; Bardet, Nathalie; Houssaye, Alexandra; Vincent, Peggy								New plesiosaurian specimens (Reptilia, Plesiosauria) from the Upper Cretaceous (Turonian) of Goulmima (Southern Morocco)								CRETACEOUS RESEARCH				82				83	98		10.1016/j.cretres.2017.09.017			FEB 2018	2018										0							WOS:000418214600009		
J	Austen, Gail E.; Bindemann, Markus; Griffiths, Richard A.; Roberts, David L.								Species identification by conservation practitioners using online images: accuracy and agreement between experts								PEERJ				6						e4157	10.7717/peerj.4157			JAN 25 2018	2018										0							WOS:000423600400001		
J	Cook, Charles E.; Bergman, Mary T.; Cochrane, Guy; Apweiler, Rolf; Birney, Ewan								The European Bioinformatics Institute in 2017: data coordination and integration								NUCLEIC ACIDS RESEARCH				46	D1			D21	D29		10.1093/nar/gkx1154			JAN 4 2018	2018										1							WOS:000419550700004		
J	Ribeiro, Antonio J. M.; Holliday, Gemma L.; Furnham, Nicholas; Tyzack, Jonathan D.; Ferris, Katherine; Thornton, Janet M.								Mechanism and Catalytic Site Atlas (M-CSA): a database of enzyme reaction mechanisms and active sites								NUCLEIC ACIDS RESEARCH				46	D1			D618	D623		10.1093/nar/gkx1012			JAN 4 2018	2018										2							WOS:000419550700093		
J	Igoe, Damien P.; Parisi, Alfio V.; Amar, Abdurazaq; Downs, Nathan J.; Turner, Joanna								Atmospheric total ozone column evaluation with a smartphone image sensor								INTERNATIONAL JOURNAL OF REMOTE SENSING				39	9			2766	2783		10.1080/01431161.2018.1433895			2018	2018										0							WOS:000425056700006		
J	Agarwal, Amit; Singh, Ritu; Toshniwal, Durga								Geospatial sentiment analysis using twitter data for UK-EU referendum								JOURNAL OF INFORMATION & OPTIMIZATION SCIENCES				39	1						10.1080/02522667.2017.1374735			2018	2018										0							WOS:000423673200024		
J	Ramirez, Maria-Soledad; Garcia-Penalvo, Francisco-Jose								Co-creation and open innovation: Systematic literature review								COMUNICAR					54			9	18		10.3916/C54-2018-01			JAN 1 2018	2018										4							WOS:000418996800001		
