Scopus search,,,,,,
"search terms: TITLE-ABS-KEY ((""biological record*"" OR ""citizen science"" OR (atlas AND species) OR gbif OR ""Global Biodiversity Information Facility"" OR eBird OR ""National Biodiversity Data Centre"" OR ""NBN"" OR ""National Biodiversity Network"" OR ""Centre for Environmental Data and Recording"") AND (""Great Britain"" OR Ireland OR Scotland OR Wales OR ""Northern Ireland"" OR ""British Isles"" OR UK OR ""United Kingdom"") AND NOT (cancer OR disease OR palliative OR ""cross-sectional"" OR ""cross sectional"" OR ""New South Wales"" OR Pyle OR marmoset))",,,,,,
15 June 2018,,,,,,
,,,,,,
author,title,year,Source title,doi,link,search_venue
"Porter, B.A.",Exploring stakeholder groups through a testimony analysis on the Hawaiian aquarium trade,2018,Tourism Geographies,10.1080/14616688.2017.1375971,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029900976&doi=10.1080%2f14616688.2017.1375971&partnerID=40&md5=8333dfa91f897a505451e6ead2f96c06,Scopus
"Beebee, T.J.C., Ratcliffe, S.",Inferring status changes of three widespread British reptiles from NBN Atlas records,2018,Herpetological Bulletin,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045742312&partnerID=40&md5=67af25067cd77b7515df08e199fe5344,Scopus
"Hart, A.G., Nesbit, R., Goodenough, A.E.",Spatiotemporal Variation in House Spider Phenology at a National Scale Using Citizen Science,2018,Arachnology,10.13156/arac.2017.17.7.331,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043761935&doi=10.13156%2farac.2017.17.7.331&partnerID=40&md5=692eb0b62ac9ffafe25146d93e9e61b0,Scopus
"Martay, B., Pearce-Higgins, J.W.","Using data from schools to model variation in soil invertebrates across the UK: The importance of weather, climate, season and habitat",2018,Pedobiologia,10.1016/j.pedobi.2018.01.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044648024&doi=10.1016%2fj.pedobi.2018.01.002&partnerID=40&md5=14a3b641638ccd08ee2a440f8416a463,Scopus
"Freeman, T., Fisher, M., Baum, F., Friel, S.",Healthy infrastructure: Australian National Broadband Network policy implementation and its importance to health equity,2018,Information Communication and Society,10.1080/1369118X.2018.1434555,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041834202&doi=10.1080%2f1369118X.2018.1434555&partnerID=40&md5=3115123e18f5b5021c39545497abe610,Scopus
"Pipek, P., Petrusková, T., Petrusek, A., Diblíková, L., Eaton, M.A., Pyšek, P.",Dialects of an invasive songbird are preserved in its invaded but not native source range,2018,Ecography,10.1111/ecog.02779,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013040091&doi=10.1111%2fecog.02779&partnerID=40&md5=1562d5f5058b754282ac6e63eab0b1b4,Scopus
"Goulson, D., O'Connor, S., Park, K.J.",Causes of colony mortality in bumblebees,2018,Animal Conservation,10.1111/acv.12363,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021192700&doi=10.1111%2facv.12363&partnerID=40&md5=a96ad340261525486436eb4bc3d1e098,Scopus
"Millar, E.E., Hazell, E.C., Melles, S.J.",The ‘cottage effect’ in citizen science? Spatial bias in aquatic monitoring programs,2018,International Journal of Geographical Information Science,10.1080/13658816.2018.1423686,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041100473&doi=10.1080%2f13658816.2018.1423686&partnerID=40&md5=e39b17ea24ffcbe785d85d0a3c48c0b3,Scopus
"Scheuch, M., Panhuber, T., Winter, S., Kelemen-Finan, J., Bardy-Durchhalter, M., Kapelari, S.",Butterflies &amp; wild bees: biology teachers’ PCK development through citizen science*,2018,Journal of Biological Education,10.1080/00219266.2017.1405530,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043522914&doi=10.1080%2f00219266.2017.1405530&partnerID=40&md5=e21726fe939a4033f2a1e0280908dbc9,Scopus
"Wiemann, S., Karrasch, P., Bernard, L.",Ad-hoc combination and analysis of heterogeneous and distributed spatial data for environmental monitoring–design and prototype of a web-based solution,2018,International Journal of Digital Earth,10.1080/17538947.2017.1326984,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019642611&doi=10.1080%2f17538947.2017.1326984&partnerID=40&md5=9ecb41076f113a87c5d52f7bc73b5331,Scopus
