author,title,year,articleURL,doi
ERGT CEN,CHANGE RESEARCH,NA,https://pdfs.semanticscholar.org/54c5/7fab2668a05d61289a7d7a982c1a97904b77.pdf,NA
"ME Saunders, E Roger, WL Geary, F Meredith…",Citizen science in schools: Engaging students in research on urban habitat for pollinators,2018,https://onlinelibrary.wiley.com/doi/abs/10.1111/aec.12608,NA
"MA Biona, CR Marte, ALG Pasadilla, BYG Araneta",CLAM POLYMESODA EROSA HARVESTED FROM THE WILD,NA,https://wzukusers.storage.googleapis.com/user-18648291/documents/58cb534c83b5af8DdpYo/1%20Biona%20et%20al.pdf,NA
LH Chambers,Clouds,2017,http://onlinelibrary.wiley.com/doi/10.1002/9781118786352.wbieg0584/full,NA
"X Xiangming, JM Melillo, DW Kicklighter, Y Pan…",CO2 浓度变化和气候变化对中国陆地生态系统净初级生产力及其平衡的影响 (英文),NA,http://www.plant-ecology.com/CN/article/downloadArticleFile.do?attachType=PDF&id=8784,NA
"L Hennen, LN KIT",D4. 1 Policy options for engagement in science and innovation within the frame of Horizon2020,2014,http://engage2020.eu/media/D4.1-policy-options.pdf,NA
"CB Schultz, A Tyler, D Parsons, T Preston…","DANube macroregion: Capacity building and Excellence in River Systems (basin, delta and sea)-DANCERS",2013,http://www.dancers-fp7.eu/wp-content/uploads/2013/08/D3.2-Infrastructure-FINAL.pdf,NA
"R Reinhardt, A Harpke, M Wiemers, S Caspari…",Das Projekt „Tagfalteratlas Deutschland “(TAD),2017,https://www.researchgate.net/profile/Martin_Wiemers/publication/314397401_Das_Projekt_Tagfalteratlas_Deutschland_TAD/links/58c17d9eaca272e36dcc828a/Das-Projekt-Tagfalteratlas-Deutschland-TAD.pdf,NA
M Sans,Deliverable 5.4,2015,http://swanproject.arizona.edu/sites/default/files/Deliverable_5_4.pdf,NA
"K Despot-Belmonte, H Bingham, M Doudin…",Deliverable 7.4 (D7. 4) Strategies and business plan for regional and global biodiversity information infrastructures M52,2017,http://www.vliz.be/imisdocs/publications/306093.pdf,NA
