Title,Authors,DocumentURL,PublicationDate,Database
Monitoring abundance and phenology in (multivoltine) butterfly species: a novel mixture model,"Matechou, Eleni;Dennis, Emily B;Freeman, Stephen N;Brereton, Tom",https://search.proquest.com/docview/1534832438?accountid=14507,June 2014,SciTech Premium Collection
Public urged to be busy bees,,https://search.proquest.com/docview/1534187755?accountid=14507,"Jun 10, 2014",European Newsstream
"The Slow University: Inequality, Power and Alternatives","Martell, Luke",https://search.proquest.com/docview/1604029870?accountid=14507,2014,Social Science Premium Collection
"The Slow University: Work, Time and Well-Being","O'Neill, Maggie",https://search.proquest.com/docview/1604040540?accountid=14507,2014,Social Science Premium Collection
Cnidaria in UK coastal waters: description of spatio-temporal patterns and inter-annual variability,"Pikesley, Stephen K;Godley, Brendan J;Ranger, Sue;Richardson, Peter B;Witt, Matthew J",https://search.proquest.com/docview/1751214511?accountid=14507,November 2014,SciTech Premium Collection
The Solar Stormwatch CME catalogue: Results from the first space weather citizen science project,"Barnard, L;Scott, C;Owens, M;Lockwood, M;Tucker-Hood, K;Thomas, S;Crothers, S;Davies, J A;Harrison, R;Lintott, C;Simpson, R;O'Donnell, J;Smith, A M;Waterson, N;Bamford, S;Romeo, F;Kukula, M;Owens, B;Savani, N;Wilkinson, J;Baeten, E;Poeffel, L;Harder, B",https://search.proquest.com/docview/1645754423?accountid=14507,Dec 2014,SciTech Premium Collection
The Solar Stormwatch CME catalogue: Results from the first space weather citizen science project,"Barnard, L;Scott, C;Owens, M;Lockwood, M;Tucker-Hood, K;Thomas, S;Crothers, S;Davies, JA;Harrison, R;Lintott, C;Simpson, R;O'Donnell, J;Smith, A M;Waterson, N;Bamford, S;Romeo, F;Kukula, M;Owens, B;Savani, N;Wilkinson, J;Baeten, E;Poeffel, L;Harder, B",https://search.proquest.com/docview/1654674169?accountid=14507,Dec 2014,SciTech Premium Collection
The Solar Stormwatch CME catalogue: Results from the first space weather citizen science project,"Barnard, L;Scott, C;Owens, M;Lockwood, M;Tucker-Hood, K;Thomas, S;Crothers, S;Davies, JA;Harrison, R;Lintott, C;Simpson, R;O'Donnell, J;Smith, A M;Waterson, N;Bamford, S;Romeo, F;Kukula, M;Owens, B;Savani, N;Wilkinson, J;Baeten, E;Poeffel, L;Harder, B",https://search.proquest.com/docview/1660044999?accountid=14507,Dec 2014,SciTech Premium Collection
GLOBEROTTERS [Scot Region],"Findlay, Russell",https://search.proquest.com/docview/1669731614?accountid=14507,"Apr 5, 2015",European Newsstream
COBWEB project weaves a plan to crowd-source data,,https://search.proquest.com/docview/1674564257?accountid=14507,"Apr 22, 2015",European Newsstream
HERITAGE COUNCIL'S UNHAPPY BIRTHDAY,"Woodworth, Paddy",https://search.proquest.com/docview/1684114560?accountid=14507,"May 30, 2015",European Newsstream
An Atlas of Network Topologies Reveals Design Principles for Caenorhabditis elegans Vulval Precursor Cell Fate Patterning,"Ping, Xianfeng;Tang, Chao",https://search.proquest.com/docview/1691408884?accountid=14507,Jun 2015,SciTech Premium Collection
Assessing accuracy in citizen science-based plant phenology monitoring,"Fuccillo, Kerissa K;Crimmins, Theresa M;de Rivera, Catherine E;Elder, Timothy S",https://search.proquest.com/docview/1684725882?accountid=14507,Jul 2015,"Military Database,SciTech Premium Collection"
Pollen morphology of Cactaceae in Northern Chile/ Morfología polínica de Cactáceas en el norte de Chile,"Miesen, Floreana;De Porras, María Eugenia;Maldonado, Antonio",https://search.proquest.com/docview/1762689819?accountid=14507,2015,SciTech Premium Collection
Ten years of invasion: Harmonia axyridis (Pallas) (Coleoptera: Coccinellidae) in Britain,"Roy, Helen E;Brown, Peter M J",https://search.proquest.com/docview/1710234862?accountid=14507,Aug 2015,SciTech Premium Collection
Correspondence,Anonymous,https://search.proquest.com/docview/1706574770?accountid=14507,"Aug 14-Aug 20, 2015","ABI/INFORM Global,European Newsstream,Military Database,Social Science Premium Collection"
Exploring participation in ecological monitoring in Nepal's community forests,"STADDON, SAM C;NIGHTINGALE, ANDREA;SHRESTHA, SHYAM K",https://search.proquest.com/docview/1700203555?accountid=14507,Sep 2015,SciTech Premium Collection
Understanding the Motivations and Satisfactions of Volunteers to Improve the Effectiveness of Citizen Science Programs,"Wright, Dale R;Underhill, Les G;Keene, Matt;Knight, Andrew T",https://search.proquest.com/docview/2000005883?accountid=14507,"Sep 2, 2015",SciTech Premium Collection
Transhumanists are on a quest to discover eternal life. Is the citizen science they use the future of technology?,,https://search.proquest.com/docview/1710781791?accountid=14507,"Sep 10, 2015",European Newsstream
High resolution mass spectrometry imaging of plant tissues: towards a plant metabolite atlas,"Bhandari, Dhaka Ram;Wang, Qing;Friedt, Wolfgang;Spengler, Bernhard;Gottwald, Sven;Rompp, Andreas",https://search.proquest.com/docview/1770381065?accountid=14507,October 2015,SciTech Premium Collection
"A novel citizen science approach for large-scale standardised monitoring of bat activity and distribution, evaluated in eastern England","Newson, Stuart E;Evans, Hazel E;Gillings, Simon",https://search.proquest.com/docview/1836669841?accountid=14507,Nov 2015,SciTech Premium Collection
HydroCrowd: a citizen science snapshot to assess the spatial control of nitrogen solutes in surface waters,"Breuer, Lutz;Hiery, Noreen;Kraft, Philipp;Bach, Martin;Aubert, Alice H;Frede, Hans-georg",https://search.proquest.com/docview/1899808557?accountid=14507,Nov 2015,SciTech Premium Collection
The Role of Citizen Science in Landscape and Seascape Approaches to Integrating Conservation and Development,"Sayer, Jeffrey;Margules, Chris;Bohnet, Iris;Boedhihartono, Agni;Pierce, Ray;Dale, Allan;Andrews, Kate",https://search.proquest.com/docview/1764696143?accountid=14507,2015,SciTech Premium Collection
Motivation to Participate in an Online Citizen Science Game,"Curtis, Vickie",https://search.proquest.com/docview/1790890233?accountid=14507,Dec 2015,Social Science Premium Collection
What Is Citizen Science? – A Scientometric Meta-Analysis,"Kullenberg, Christopher;Kasperowski, Dick",https://search.proquest.com/docview/1756948182?accountid=14507,Jan 2016,SciTech Premium Collection
Explaining Spatial Variation in the Recording Effort of Citizen Science Data across Multiple Taxa,"Mair, Louise;Ruete, Alejandro",https://search.proquest.com/docview/1761076232?accountid=14507,Jan 2016,SciTech Premium Collection
Focal Plant Observations as a Standardised Method for Pollinator Monitoring: Opportunities and Limitations for Mass Participation Citizen Science.,"Roy, Helen E;Baxter, Elizabeth;Saunders, Aoine;Pocock, Michael J O",https://search.proquest.com/docview/1774531717?accountid=14507,2016,SciTech Premium Collection
